alue;tyovoima;tyolliset;tyottomat
Akaa;7539;6894;645
Alajärvi;3830;3438;392
Alavieska;1098;1012;86
Alavus;4724;4356;368
Asikkala;3282;2941;341
Askola;2390;2217;173
Aura;1958;1832;126
Brändö;203;196;7
Eckerö;472;452;20
Enonkoski;537;466;71
Enontekiö;844;713;131
Espoo;145098;133844;11254
Eura;5121;4771;350
Eurajoki;4266;4002;264
Evijärvi;1053;981;72
Finström;1270;1222;48
Forssa;7161;6344;817
Föglö;248;245;3
Geta;241;228;13
Haapajärvi;2895;2649;246
Haapavesi;2768;2509;259
Hailuoto;354;327;27
Halsua;479;448;31
Hamina;8777;7764;1013
Hammarland;782;752;30
Hankasalmi;1947;1694;253
Hanko;3595;3209;386
Harjavalta;2833;2514;319
Hartola;1079;940;139
Hattula;4428;4124;304
Hausjärvi;3963;3719;244
Heinola;7825;6680;1145
Heinävesi;1227;1048;179
Helsinki;347412;315653;31759
Hirvensalmi;850;724;126
Hollola;10605;9651;954
Honkajoki;713;652;61
Huittinen;4338;4018;320
Humppila;982;880;102
Hyrynsalmi;815;701;114
Hyvinkää;22430;20542;1888
Hämeenkyrö;4670;4299;371
Hämeenlinna;30842;27524;3318
Ii;4164;3656;508
Iisalmi;9505;8325;1180
Iitti;2852;2552;300
Ikaalinen;2792;2538;254
Ilmajoki;5559;5193;366
Ilomantsi;1862;1520;342
Imatra;11464;9799;1665
Inari;3342;3030;312
Inkoo;2520;2370;150
Isojoki;815;768;47
Isokyrö;1944;1815;129
Janakkala;7524;6915;609
Joensuu;35171;30153;5018
Jokioinen;2372;2159;213
Jomala;2702;2640;62
Joroinen;2028;1827;201
Joutsa;1723;1508;215
Juuka;1742;1418;324
Juupajoki;759;707;52
Juva;2528;2278;250
Jyväskylä;68748;59926;8822
Jämijärvi;746;685;61
Jämsä;8719;7510;1209
Järvenpää;22369;20542;1827
Kaarina;16106;15016;1090
Kaavi;1064;912;152
Kajaani;16764;14937;1827
Kalajoki;5371;4942;429
Kangasala;15072;14013;1059
Kangasniemi;2065;1856;209
Kankaanpää;4944;4370;574
Kannonkoski;500;431;69
Kannus;2404;2207;197
Karijoki;540;500;40
Karkkila;3906;3537;369
Karstula;1605;1375;230
Karvia;980;885;95
Kaskinen;470;433;37
Kauhajoki;5718;5161;557
Kauhava;6783;6311;472
Kauniainen;4364;4100;264
Kaustinen;2008;1868;140
Keitele;863;766;97
Kemi;8677;7327;1350
Kemijärvi;2818;2375;443
Keminmaa;3604;3244;360
Kemiönsaari;2740;2501;239
Kempele;8471;7760;711
Kerava;18340;16692;1648
Keuruu;3792;3350;442
Kihniö;793;722;71
Kinnula;587;509;78
Kirkkonummi;19638;18219;1419
Kitee;3968;3377;591
Kittilä;3290;3068;222
Kiuruvesi;3325;2893;432
Kivijärvi;378;329;49
Kokemäki;3064;2714;350
Kokkola;21490;19788;1702
Kolari;1769;1604;165
Konnevesi;1112;981;131
Kontiolahti;7196;6523;673
Korsnäs;982;920;62
Koski Tl;956;891;65
Kotka;23356;19704;3652
Kouvola;36787;32048;4739
Kristiinankaupunki;2674;2514;160
Kruunupyy;2973;2835;138
Kuhmo;3267;2767;500
Kuhmoinen;796;695;101
Kumlinge;145;142;3
Kuopio;56340;50408;5932
Kuortane;1440;1356;84
Kurikka;8693;7986;707
Kustavi;378;338;40
Kuusamo;6475;5816;659
Kyyjärvi;514;457;57
Kärkölä;2017;1824;193
Kärsämäki;1014;908;106
Kökar;106;103;3
Lahti;55608;47534;8074
Laihia;3683;3413;270
Laitila;3999;3798;201
Lapinjärvi;1163;1064;99
Lapinlahti;4129;3633;496
Lappajärvi;1176;1088;88
Lappeenranta;33263;29386;3877
Lapua;6279;5758;521
Laukaa;8493;7582;911
Lemi;1343;1206;137
Lemland;1055;1030;25
Lempäälä;10931;10238;693
Leppävirta;4054;3637;417
Lestijärvi;281;255;26
Lieksa;4118;3467;651
Lieto;9703;9235;468
Liminka;4357;4065;292
Liperi;5599;4994;605
Lohja;21273;19538;1735
Loimaa;6730;6113;617
Loppi;3472;3274;198
Loviisa;6640;5929;711
Luhanka;255;235;20
Lumijoki;782;704;78
Lumparland;186;185;1
Luoto;2379;2315;64
Luumäki;1930;1728;202
Maalahti;2575;2440;135
Maarianhamina - Mariehamn;5962;5689;273
Marttila;883;813;70
Masku;4721;4482;239
Merijärvi;409;383;26
Merikarvia;1190;1051;139
Miehikkälä;746;663;83
Mikkeli;24190;21610;2580
Muhos;3808;3444;364
Multia;567;511;56
Muonio;1033;944;89
Mustasaari;9308;8890;418
Muurame;4876;4485;391
Mynämäki;3545;3296;249
Myrskylä;880;775;105
Mäntsälä;9932;9346;586
Mänttä-Vilppula;3883;3482;401
Mäntyharju;2248;1992;256
Naantali;8916;8238;678
Nakkila;2273;2057;216
Nivala;4334;3970;364
Nokia;15811;14564;1247
Nousiainen;2295;2157;138
Nurmes;3805;3240;565
Nurmijärvi;21333;20054;1279
Närpiö;4343;4174;169
Orimattila;7268;6502;766
Oripää;564;525;39
Orivesi;3873;3489;384
Oulainen;3107;2790;317
Oulu;98319;86652;11667
Outokumpu;2541;2152;389
Padasjoki;1106;971;135
Paimio;5059;4832;227
Paltamo;1303;1108;195
Parainen;6699;6299;400
Parikkala;1822;1600;222
Parkano;2561;2326;235
Pedersören kunta;5207;5050;157
Pelkosenniemi;398;343;55
Pello;1287;1105;182
Perho;1043;956;87
Pertunmaa;686;617;69
Petäjävesi;1681;1490;191
Pieksämäki;7295;6554;741
Pielavesi;1562;1400;162
Pietarsaari;8567;7969;598
Pihtipudas;1621;1416;205
Pirkkala;9518;8925;593
Polvijärvi;1724;1477;247
Pomarkku;840;754;86
Pori;38143;33307;4836
Pornainen;2521;2413;108
Porvoo;24565;22522;2043
Posio;1202;1005;197
Pudasjärvi;2912;2531;381
Pukkila;901;817;84
Punkalaidun;1099;1021;78
Puolanka;933;757;176
Puumala;824;729;95
Pyhtää;2338;2111;227
Pyhäjoki;1253;1140;113
Pyhäjärvi;1915;1678;237
Pyhäntä;632;562;70
Pyhäranta;919;857;62
Pälkäne;2771;2549;222
Pöytyä;3682;3387;295
Raahe;10134;9128;1006
Raasepori;12463;11354;1109
Raisio;11562;10650;912
Rantasalmi;1408;1223;185
Ranua;1445;1234;211
Rauma;18205;16582;1623
Rautalampi;1200;1065;135
Rautavaara;560;467;93
Rautjärvi;1236;1044;192
Reisjärvi;1087;1018;69
Riihimäki;13488;12334;1154
Ristijärvi;511;461;50
Rovaniemi;30486;27099;3387
Ruokolahti;2053;1814;239
Ruovesi;1675;1530;145
Rusko;3092;2945;147
Rääkkylä;778;643;135
Saarijärvi;3778;3141;637
Salla;1331;1130;201
Salo;23254;20399;2855
Saltvik;902;875;27
Sastamala;10108;9333;775
Sauvo;1341;1269;72
Savitaipale;1348;1202;146
Savonlinna;14098;12122;1976
Savukoski;436;366;70
Seinäjoki;30639;28047;2592
Sievi;1955;1781;174
Siikainen;543;464;79
Siikajoki;2093;1907;186
Siikalatva;2116;1879;237
Siilinjärvi;10111;9313;798
Simo;1154;1022;132
Sipoo;10610;10023;587
Siuntio;3031;2845;186
Sodankylä;3920;3609;311
Soini;826;736;90
Somero;3598;3314;284
Sonkajärvi;1574;1354;220
Sotkamo;4601;4201;400
Sottunga;40;38;2
Sulkava;963;846;117
Sund;509;487;22
Suomussalmi;3083;2579;504
Suonenjoki;2833;2553;280
Sysmä;1341;1197;144
Säkylä;2950;2771;179
Taipalsaari;2147;1967;180
Taivalkoski;1606;1382;224
Taivassalo;707;657;50
Tammela;2753;2540;213
Tampere;117631;104478;13153
Tervo;602;530;72
Tervola;1255;1082;173
Teuva;2000;1844;156
Tohmajärvi;1803;1490;313
Toholampi;1232;1134;98
Toivakka;1021;903;118
Tornio;9726;8584;1142
Turku;94483;83167;11316
Tuusniemi;944;812;132
Tuusula;19531;18287;1244
Tyrnävä;2807;2553;254
Ulvila;5789;5228;561
Urjala;1934;1716;218
Utajärvi;1012;898;114
Utsjoki;513;470;43
Uurainen;1594;1440;154
Uusikaarlepyy;3382;3258;124
Uusikaupunki;7356;6886;470
Vaala;1036;884;152
Vaasa;32525;29756;2769
Valkeakoski;8984;8136;848
Vantaa;120730;110441;10289
Varkaus;8476;7206;1270
Vehmaa;1049;975;74
Vesanto;763;664;99
Vesilahti;2036;1904;132
Veteli;1327;1238;89
Vieremä;1634;1480;154
Vihti;14424;13343;1081
Viitasaari;2432;2128;304
Vimpeli;1186;1100;86
Virolahti;1336;1170;166
Virrat;2595;2338;257
Vårdö;191;186;5
Vöyri;2959;2809;150
Ylitornio;1559;1346;213
Ylivieska;6851;6222;629
Ylöjärvi;15844;14764;1080
Ypäjä;1047;970;77
Ähtäri;2309;2103;206
Äänekoski;7968;6770;1198
